18:09:50 | INFO     | app | app started!
18:10:08 | INFO     | app | app started!
15:41:08 | INFO     | handler | Initializing ChatHandler
15:41:10 | INFO     | faq_retriever | Registering FAQ retriever (lazy vector index)
15:41:10 | INFO     | checkpointer | Using in-memory LangGraph checkpointer
15:41:24 | INFO     | handler | New session created: 42fb8342-6e59-48da-bba7-48ae870aa18c
15:41:24 | DEBUG    | handler | [42fb8342-6e59-48da-bba7-48ae870aa18c] User: سلام
15:41:24 | DEBUG    | normalizer | Input unchanged after normalization: 'سلام'
15:41:24 | INFO     | metrics | metric=safeguard_pass | session_id=42fb8342-6e59-48da-bba7-48ae870aa18c | total_passes=1
15:41:24 | DEBUG    | safeguard | Safeguard passed | session_id=42fb8342-6e59-48da-bba7-48ae870aa18c | input='سلام'
15:41:25 | INFO     | intent_classifier | Intent: greeting | confidence: 1.0 | reasoning: این پیام یک سلام و احوال‌پرسی است. | input: 'سلام'
15:41:25 | INFO     | builder | Routing to: greeting
15:41:25 | INFO     | greeting | Greeting response: سلام! خوش اومدی. امروز دوست داری کمکت کنم با چی کار کنی؟
15:41:25 | DEBUG    | history_recorder | [42fb8342-6e59-48da-bba7-48ae870aa18c] Recorded assistant reply to history
15:41:25 | DEBUG    | handler | [42fb8342-6e59-48da-bba7-48ae870aa18c] Bot: متأسفانه در حال حاضر سرویس قادر به پاسخگویی نیست. لطفاً کمی بعد دوباره تلاش کنید.
15:41:45 | INFO     | handler | New session created: ae10e5e0-ecf0-4c07-a130-dcd1a700df50
15:41:45 | DEBUG    | handler | [ae10e5e0-ecf0-4c07-a130-dcd1a700df50] User: میخوام یه آلارم تنظیم کنم
15:41:45 | INFO     | normalizer | Normalized input: 'میخوام یه آلارم تنظیم کنم' -> 'میخوام یه الارم تنظیم کنم'
15:41:45 | INFO     | metrics | metric=safeguard_pass | session_id=ae10e5e0-ecf0-4c07-a130-dcd1a700df50 | total_passes=2
15:41:45 | DEBUG    | safeguard | Safeguard passed | session_id=ae10e5e0-ecf0-4c07-a130-dcd1a700df50 | input='میخوام یه الارم تنظیم کنم'
15:41:46 | INFO     | intent_classifier | Intent: android | confidence: 0.9 | reasoning: کاربر درخواست تنظیم زنگ هشدار کرده است. | input: 'میخوام یه الارم تنظیم کنم'
15:41:46 | INFO     | builder | Routing to: android
15:41:52 | DEBUG    | history_recorder | [ae10e5e0-ecf0-4c07-a130-dcd1a700df50] Recorded assistant reply to history
15:41:52 | DEBUG    | handler | [ae10e5e0-ecf0-4c07-a130-dcd1a700df50] Bot: متأسفانه در حال حاضر سرویس قادر به پاسخگویی نیست. لطفاً کمی بعد دوباره تلاش کنید.
15:43:25 | INFO     | handler | Initializing ChatHandler
15:43:26 | INFO     | faq_retriever | Registering FAQ retriever (lazy vector index)
15:43:26 | INFO     | checkpointer | Using in-memory LangGraph checkpointer
15:43:30 | INFO     | handler | New session created: a135b9f3-7708-4685-b552-8aed03e14229
15:43:30 | DEBUG    | handler | [a135b9f3-7708-4685-b552-8aed03e14229] User: سلام
15:43:30 | DEBUG    | normalizer | Input unchanged after normalization: 'سلام'
15:43:30 | INFO     | metrics | metric=safeguard_pass | session_id=a135b9f3-7708-4685-b552-8aed03e14229 | total_passes=1
15:43:30 | DEBUG    | safeguard | Safeguard passed | session_id=a135b9f3-7708-4685-b552-8aed03e14229 | input='سلام'
15:43:32 | INFO     | intent_classifier | Intent: greeting | confidence: 1.0 | reasoning: کاربر تنها یک احوال‌پرسی کرده است. | input: 'سلام'
15:43:32 | INFO     | builder | Routing to: greeting
15:43:32 | INFO     | greeting | Greeting response: سلام! خوبی؟ اگر کاری داری بگو تا باهم انجامش بدیم.
15:43:32 | DEBUG    | history_recorder | [a135b9f3-7708-4685-b552-8aed03e14229] Recorded assistant reply to history
15:43:32 | DEBUG    | handler | [a135b9f3-7708-4685-b552-8aed03e14229] Bot: متأسفانه در حال حاضر سرویس قادر به پاسخگویی نیست. لطفاً کمی بعد دوباره تلاش کنید.
15:43:41 | INFO     | handler | New session created: 3e2e02fc-3882-471e-bf9f-1e9f3b5ff8f9
15:43:41 | DEBUG    | handler | [3e2e02fc-3882-471e-bf9f-1e9f3b5ff8f9] User: پام پیچ خورده، یه دکتر برای معاینه تو قم پیدا کن
15:43:41 | DEBUG    | normalizer | Input unchanged after normalization: 'پام پیچ خورده، یه دکتر برای معاینه تو قم پیدا کن'
15:43:41 | INFO     | metrics | metric=safeguard_pass | session_id=3e2e02fc-3882-471e-bf9f-1e9f3b5ff8f9 | total_passes=2
15:43:41 | DEBUG    | safeguard | Safeguard passed | session_id=3e2e02fc-3882-471e-bf9f-1e9f3b5ff8f9 | input='پام پیچ خورده، یه دکتر برای معاینه تو قم پیدا کن'
